Importer,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Exporter
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,22,78,280,245,520,410,144,69,94,72,USA
African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,USA
Algeria,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0,22,0,,114,84,200,170,15,,,,,29,,,,,6,3,,,,22,67,59,,,,,,,,11,11,,,,5,19,USA
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,7,,,,,,,,,,,,,,,,,,,1,,,,USA
Anti-Castro rebels (Cuba)*,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Argentina,70,445,38,4,5,0,39,14,66,27,96,178,32,4,4,4,60,128,92,32,159,244,309,133,68,135,155,98,147,94,75,36,4,28,10,10,,8,4,4,14,,27,14,48,28,9,82,140,197,59,6,13,12,19,3,9,15,17,8,3,1,3,6,4,16,6,USA
Armas (Guatemala)*,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
Australia,,21,100,,,10,60,75,190,213,52,38,198,24,45,588,383,433,123,347,189,239,17,620,797,43,28,122,779,141,341,315,63,489,556,508,664,565,698,629,299,94,328,449,254,38,45,35,18,286,194,87,106,165,114,101,348,574,320,610,1389,1004,589,148,326,853,869,USA
Austria,,,,2,,,45,94,14,8,,,36,180,,11,,,,,20,,,16,16,6,2,,8,23,23,,,105,,18,18,7,20,13,,,,,,,,34,36,,,,65,,,,,,,,,,,,,,,USA
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0,1,,,USA
